Student_ID,Age,Gender,High_School_GPA,SAT_Score,University_Ranking,University_GPA,Field_of_Study,Internships_Completed,Projects_Completed,Certifications,Soft_Skills_Score,Networking_Score,Job_Offers,Starting_Salary,Career_Satisfaction,Years_to_Promotion,Current_Job_Level,Work_Life_Balance,Entrepreneurship
S00001,24,Male,3.58,1052,291,3.907752578,Arts,3,7,2,9,8,5,25000,4,5,Entry,7,No
S00002,21,Other,2.52,1211,112,3.324478892,Law,4,7,3,8,1,4,25000,1,1,Mid,7,No
S00003,28,Female,3.42,1193,715,2.79770932,Medicine,4,8,1,1,9,0,25000,9,3,Entry,7,No
S00004,25,Male,2.43,1497,170,3.367296444,Computer Science,3,9,1,10,6,1,25000,7,5,Mid,5,No
S00005,22,Male,2.08,1012,599,2.28,Engineering,4,6,4,10,9,4,25000,9,5,Entry,2,No
S00006,24,Male,2.4,1600,631,3.746312657,Law,2,3,2,2,2,1,25000,9,2,Entry,8,Yes
S00007,27,Male,2.36,1011,610,4.096942383,Computer Science,0,1,3,3,3,2,25000,7,4,Mid,3,No
S00008,20,Male,2.68,1074,240,2.702913312,Computer Science,1,5,5,5,1,2,25000,2,3,Entry,3,No
S00009,24,Male,2.84,1201,337,3.018123586,Business,2,3,0,5,5,2,25000,2,2,Entry,2,No
S00010,28,Male,3.02,1415,138,2.397431978,Computer Science,1,5,3,10,2,0,25000,4,2,Senior,2,No
S00011,28,Female,2.95,1120,594,2.07,Mathematics,2,7,5,8,1,5,25000,9,1,Entry,2,No
S00012,25,Female,2.54,1070,236,3.409227964,Law,2,2,3,2,9,5,25000,7,4,Mid,6,Yes
S00013,22,Female,2.06,1217,648,3.22424105,Engineering,2,0,5,2,9,2,25000,9,4,Senior,8,No
S00014,21,Male,3.21,1112,794,2.22,Arts,0,4,3,8,6,2,25000,4,3,Entry,3,No
S00015,25,Male,2.79,1152,3,2.014203511,Business,1,2,3,1,8,1,25000,9,3,Entry,6,Yes
S00016,25,Female,2.6,1023,571,4.046551788,Computer Science,3,5,2,9,9,3,25000,7,4,Senior,3,No
S00017,20,Female,3.73,1539,116,3.881168226,Law,3,2,3,2,5,3,25000,8,5,Mid,9,No
S00018,23,Male,3.49,1112,472,4.3,Mathematics,4,0,5,5,2,5,25000,1,5,Senior,1,No
S00019,22,Female,3.72,1523,131,3.79,Mathematics,0,8,5,3,4,5,25000,9,2,Entry,7,No
S00020,19,Female,2.99,984,934,3.508123129,Mathematics,0,4,1,5,3,2,25000,8,4,Senior,8,No
S00021,25,Female,2.26,1415,898,1.929414263,Medicine,0,1,5,8,10,5,25000,1,2,Entry,9,No
S00022,29,Male,3.39,964,483,4.3,Business,2,1,1,8,7,3,25000,8,5,Senior,5,No
S00023,23,Female,2.41,1217,401,3.077789355,Engineering,0,8,5,6,10,2,25000,5,3,Senior,6,No
S00024,19,Female,2.88,1245,201,3.472441207,Medicine,3,0,3,9,10,2,25000,3,4,Mid,5,No
S00025,29,Female,2.13,1531,292,2.767912939,Engineering,0,9,5,7,10,0,25000,8,1,Mid,10,No
S00026,22,Female,3.65,1142,342,3.530919246,Medicine,2,2,1,2,8,4,25000,3,2,Entry,5,No
