Student_ID,Age,Gender,High_School_GPA,SAT_Score,University_Ranking,University_GPA,Field_of_Study,Internships_Completed,Projects_Completed,Certifications,Soft_Skills_Score,Networking_Score,Job_Offers,Starting_Salary,Career_Satisfaction,Years_to_Promotion,Current_Job_Level,Work_Life_Balance,Entrepreneurship
S00001,24,Male,3.58,1052,291,3.907752578008744,Arts,3,7,2,9,8,5,27200.0,4,5,Entry,7,No
S00002,21,Other,2.52,1211,112,3.324478891965841,Law,4,7,3,8,1,4,25000.0,1,1,Mid,7,No
S00003,28,Female,3.42,1193,715,2.7977093202224657,Medicine,4,8,1,1,9,0,42400.0,9,3,Entry,7,No
S00004,25,Male,2.43,1497,170,3.367296444266899,Computer Science,3,9,1,10,6,1,57400.0,7,5,Mid,5,No
S00005,22,Male,2.08,1012,599,2.28,Engineering,4,6,4,10,9,4,47600.0,9,5,Entry,2,No
S00006,24,Male,2.4,1600,631,3.7463126573753938,Law,2,3,2,2,2,1,68400.0,9,2,Entry,8,Yes
S00007,27,Male,2.36,1011,610,4.096942382816484,Computer Science,0,1,3,3,3,2,55500.0,7,4,Mid,3,No
S00008,20,Male,2.68,1074,240,2.702913312317658,Computer Science,1,5,5,5,1,2,38000.0,2,3,Entry,3,No
S00009,24,Male,2.84,1201,337,3.0181235856213293,Business,2,3,0,5,5,2,68900.0,2,2,Entry,2,No
S00010,28,Male,3.02,1415,138,2.3974319782960665,Computer Science,1,5,3,10,2,0,58900.0,4,2,Senior,2,No
S00011,28,Female,2.95,1120,594,2.0700000000000003,Mathematics,2,7,5,8,1,5,26300.0,9,1,Entry,2,No
S00012,25,Female,2.54,1070,236,3.4092279643326897,Law,2,2,3,2,9,5,35100.0,7,4,Mid,6,Yes
S00013,22,Female,2.06,1217,648,3.224241049928984,Engineering,2,0,5,2,9,2,42600.0,9,4,Senior,8,No
S00014,21,Male,3.21,1112,794,2.22,Arts,0,4,3,8,6,2,76500.0,4,3,Entry,3,No
S00015,25,Male,2.79,1152,3,2.014203511249061,Business,1,2,3,1,8,1,61100.0,9,3,Entry,6,Yes
S00016,25,Female,2.6,1023,571,4.046551787904007,Computer Science,3,5,2,9,9,3,34500.0,7,4,Senior,3,No
S00017,20,Female,3.73,1539,116,3.8811682262894127,Law,3,2,3,2,5,3,97500.0,8,5,Mid,9,No
S00018,23,Male,3.49,1112,472,4.3,Mathematics,4,0,5,5,2,5,61800.0,1,5,Senior,1,No
S00019,22,Female,3.72,1523,131,3.79,Mathematics,0,8,5,3,4,5,32200.0,9,2,Entry,7,No
S00020,19,Female,2.99,984,934,3.508123129259805,Mathematics,0,4,1,5,3,2,45500.0,8,4,Senior,8,No
S00021,25,Female,2.26,1415,898,1.9294142625117487,Medicine,0,1,5,8,10,5,42200.0,1,2,Entry,9,No
S00022,29,Male,3.39,964,483,4.3,Business,2,1,1,8,7,3,37400.0,8,5,Senior,5,No
S00023,23,Female,2.41,1217,401,3.077789354712039,Engineering,0,8,5,6,10,2,69500.0,5,3,Senior,6,No
S00024,19,Female,2.88,1245,201,3.472441207188788,Medicine,3,0,3,9,10,2,48100.0,3,4,Mid,5,No
S00025,29,Female,2.13,1531,292,2.767912938507453,Engineering,0,9,5,7,10,0,63900.0,8,1,Mid,10,No
S00026,22,Female,3.65,1142,342,3.530919245639985,Medicine,2,2,1,2,8,4,48100.0,3,2,Entry,5,No
S00027,18,Female,2.25,1036,991,1.924013752587881,Arts,1,9,2,1,5,3,44600.0,8,4,Entry,7,No
S00028,29,Female,3.81,1146,610,1.9088346842796349,Engineering,0,6,0,8,2,2,41000.0,5,1,Entry,4,No
S00029,27,Male,3.73,1340,216,3.485725427126113,Medicine,1,0,3,1,9,3,50300.0,8,2,Mid,6,No
S00030,23,Female,2.93,944,636,4.3,Mathematics,4,1,5,8,1,0,38300.0,3,5,Executive,4,No
S00031,29,Female,3.49,1557,585,3.2474666434783663,Engineering,2,5,1,9,5,0,49500.0,10,2,Senior,2,No
S00032,26,Female,3.24,1587,366,2.7185742845936782,Business,0,8,1,1,3,2,41500.0,6,3,Entry,2,No
S00033,18,Male,3.61,1453,890,2.5836989848823637,Engineering,4,8,2,7,8,3,29800.0,6,2,Mid,4,No
S00034,28,Male,2.86,988,642,3.521800168941839,Law,4,7,5,5,8,3,44600.0,4,2,Entry,5,No
S00035,28,Female,3.57,1127,469,3.585995458752409,Engineering,1,2,2,8,1,3,25000.0,5,4,Entry,1,Yes
S00036,27,Female,2.92,1190,418,3.228557879256161,Medicine,3,1,0,4,4,0,70300.0,7,4,Entry,3,No
S00037,29,Female,3.88,1321,27,2.925765557254548,Engineering,3,0,5,2,10,1,57500.0,1,5,Executive,5,No
S00038,29,Female,2.97,966,677,3.857728099981842,Arts,3,8,4,7,8,1,43000.0,8,3,Entry,8,No
S00039,20,Female,2.93,1150,455,3.1400060162658767,Computer Science,3,4,4,7,9,3,25000.0,3,3,Entry,4,Yes
S00040,29,Female,3.57,940,918,3.756210919226847,Business,2,2,5,8,9,3,50200.0,7,5,Entry,6,Yes
S00041,24,Female,3.64,998,580,2.38255054996574,Law,0,9,4,9,2,4,53400.0,9,1,Mid,4,No
S00042,21,Female,3.11,1205,14,2.133021450693885,Mathematics,0,9,0,6,9,2,56300.0,2,2,Entry,5,No
S00043,26,Female,2.36,1355,98,4.228621400794913,Medicine,2,4,3,3,8,0,38400.0,10,4,Senior,7,No
S00044,20,Male,2.94,1490,279,2.477678712978688,Mathematics,1,2,4,5,9,4,53200.0,10,5,Entry,8,Yes
S00045,22,Male,3.94,1200,940,3.397908896486594,Mathematics,0,8,4,3,9,3,78700.0,7,5,Entry,10,Yes
S00046,20,Female,3.51,1098,490,3.1161614698164577,Engineering,4,0,5,10,3,5,42200.0,1,4,Mid,10,No
S00047,24,Male,3.62,1558,985,3.49534899340364,Engineering,0,0,1,9,5,1,65500.0,5,4,Entry,8,No
S00048,22,Male,2.07,1387,961,2.3820815073085724,Engineering,2,2,1,5,3,1,49800.0,7,1,Mid,7,Yes
S00049,26,Male,2.94,1005,883,2.5029994132583577,Business,1,5,3,7,6,4,47900.0,5,3,Mid,4,Yes
S00050,24,Male,3.29,1300,759,3.999457906668427,Law,0,1,5,10,10,1,52000.0,5,4,Mid,4,No
S00051,19,Male,3.66,1376,624,3.722567144740229,Computer Science,2,0,2,7,5,1,42000.0,6,5,Senior,2,No
S00052,21,Male,2.1,1021,207,2.415297251438525,Arts,4,7,0,7,2,5,52100.0,10,2,Senior,9,No
S00053,26,Female,3.7,976,864,2.37674467434011,Law,3,9,4,10,3,2,64500.0,10,1,Mid,6,Yes
S00054,29,Female,3.1,1211,846,4.15,Arts,4,8,5,4,7,3,63500.0,6,2,Executive,3,No
S00055,19,Male,2.39,1011,233,2.1705463464500907,Mathematics,4,9,5,4,10,4,67200.0,10,2,Entry,3,No
S00056,27,Male,2.63,1581,573,3.527584170326988,Law,1,0,0,3,10,5,40600.0,2,3,Senior,1,Yes
S00057,26,Female,2.56,1417,597,2.310489220189296,Medicine,0,2,1,4,5,0,50900.0,10,2,Entry,2,No
S00058,27,Male,3.06,1096,695,3.9989292797075056,Computer Science,3,4,0,9,3,0,82700.0,10,5,Entry,5,No
S00059,22,Female,2.1,997,239,3.8076515745085286,Computer Science,2,6,1,5,4,5,35400.0,9,5,Senior,9,No
S00060,19,Female,2.32,1358,250,3.4026218836432056,Business,3,9,0,6,6,3,48300.0,3,4,Entry,3,No
S00061,21,Female,3.63,1129,583,2.008099534796985,Law,0,3,1,4,8,0,31800.0,1,3,Entry,7,No
S00062,29,Male,2.27,1067,740,3.7882258461287193,Engineering,1,5,0,1,7,5,51600.0,1,4,Entry,6,No
S00063,29,Female,2.47,907,597,2.6020530829231627,Computer Science,0,0,4,7,3,1,65600.0,9,2,Entry,3,No
S00064,24,Male,2.91,1071,306,3.867946032564768,Law,2,3,4,7,2,2,75700.0,6,5,Entry,4,Yes
S00065,29,Female,3.03,1259,1000,3.2674729603748656,Engineering,3,7,3,6,3,4,35000.0,7,4,Entry,5,No
S00066,25,Female,3.53,1094,908,3.63306436174704,Business,4,4,0,4,5,4,37600.0,2,5,Mid,2,No
S00067,20,Male,2.89,1168,463,2.300080360410064,Mathematics,0,7,2,10,7,1,73700.0,1,4,Mid,8,Yes
S00068,18,Male,3.58,918,783,3.047763227914301,Mathematics,1,0,3,8,8,3,25000.0,2,1,Mid,7,No
S00069,21,Male,3.24,1253,913,2.18,Law,1,9,0,8,6,2,40400.0,3,3,Entry,9,No
S00070,19,Female,2.23,948,802,2.7883901381403526,Law,3,8,2,1,2,0,64600.0,3,4,Senior,8,No
S00071,25,Male,2.31,1363,236,2.082166433289794,Medicine,4,3,4,9,2,4,25000.0,8,2,Entry,7,No
S00072,21,Female,2.87,1255,291,2.4149147570370197,Law,2,8,4,8,10,4,34300.0,4,5,Entry,9,No
S00073,19,Male,2.79,1057,39,3.0492400213988886,Medicine,4,7,5,2,5,3,68900.0,1,5,Senior,10,No
S00074,23,Female,3.49,965,998,2.825255777138772,Engineering,3,7,4,9,5,2,25000.0,2,3,Mid,5,No
S00075,23,Female,3.16,1470,718,4.279999999999999,Mathematics,4,1,5,4,1,5,25000.0,9,3,Executive,3,No
S00076,27,Female,2.78,1207,183,2.113859925876152,Engineering,3,2,2,10,1,0,62600.0,2,1,Entry,6,No
S00077,21,Female,2.34,1236,699,3.86842083404171,Mathematics,4,9,1,6,9,4,74400.0,9,4,Mid,9,No
S00078,23,Male,2.45,1570,645,1.642762188656976,Mathematics,0,8,0,2,7,4,71500.0,5,1,Entry,6,No
S00079,19,Male,3.15,1020,30,3.612849523767213,Computer Science,1,2,3,10,8,0,25000.0,4,4,Senior,3,Yes
S00080,27,Female,2.85,1303,388,2.8689404946938986,Business,3,7,5,4,5,2,71900.0,4,4,Entry,2,No
S00081,29,Male,3.03,1546,767,4.038498216286462,Medicine,3,4,3,2,3,2,51200.0,3,3,Entry,5,No
S00082,19,Male,2.34,1467,143,3.502740233614355,Mathematics,1,6,4,9,3,2,37900.0,2,3,Entry,8,No
S00083,27,Male,3.33,995,615,3.3013195589660773,Computer Science,2,3,1,9,3,4,36000.0,8,4,Mid,8,No
S00084,21,Male,3.71,1013,419,3.2512295909888005,Arts,3,7,5,5,1,5,60500.0,6,3,Entry,1,No
S00085,25,Male,2.52,1328,74,3.0021965461125704,Computer Science,0,3,0,3,3,1,56600.0,9,4,Executive,3,No
S00086,24,Female,2.98,1439,55,3.3182075021487494,Engineering,4,4,5,3,2,4,71100.0,2,3,Senior,5,No
S00087,29,Male,3.95,901,962,2.42451930207502,Arts,0,0,0,1,8,3,40600.0,1,2,Senior,1,No
S00088,26,Female,2.67,1111,748,3.35,Computer Science,3,9,3,8,10,3,42700.0,8,4,Senior,6,No
S00089,25,Male,3.19,1479,572,2.7926794347596857,Law,2,7,3,3,10,5,62100.0,8,5,Senior,4,No
S00090,22,Female,2.18,1539,24,3.226435688793888,Business,3,6,3,4,6,4,38100.0,5,2,Senior,9,Yes
S00091,19,Male,3.21,1232,988,2.809948971295344,Medicine,2,4,0,2,5,4,62300.0,2,1,Senior,2,No
S00092,22,Female,2.18,923,22,3.6018167831879384,Law,1,5,5,8,1,0,33300.0,10,3,Senior,10,No
S00093,25,Female,3.92,1267,428,2.23,Arts,4,0,3,3,2,2,80600.0,5,1,Entry,5,No
S00094,27,Male,3.43,1405,32,2.2349229574385148,Mathematics,0,7,0,2,2,5,79900.0,8,5,Entry,5,No
S00095,26,Female,3.58,1075,863,3.2201996645321724,Business,2,8,4,1,7,0,39000.0,4,3,Mid,6,Yes
S00096,29,Other,3.41,1328,339,3.4342012189482776,Mathematics,0,4,5,10,7,5,50900.0,2,1,Entry,5,No
S00097,29,Female,3.18,1341,947,3.359588865646406,Computer Science,1,9,5,2,6,3,51800.0,3,2,Entry,10,No
S00098,29,Female,2.9,1447,981,2.4623524144083397,Law,3,6,5,2,8,3,48000.0,3,1,Mid,10,No
S00099,26,Male,3.72,1413,515,3.4669007218207817,Engineering,2,9,1,4,4,1,35000.0,9,3,Mid,9,Yes
S00100,18,Female,3.91,1260,512,3.278524770693596,Engineering,4,3,3,1,9,2,51600.0,3,2,Mid,1,No
S00101,26,Male,3.0,1173,70,3.11,Business,2,5,0,1,8,2,27800.0,1,5,Executive,8,No
S00102,24,Male,3.86,1076,672,2.0114295505471,Engineering,3,1,4,6,3,5,73000.0,7,1,Mid,6,No
S00103,26,Other,3.17,1163,898,2.1681167578211338,Medicine,3,3,2,5,3,3,74000.0,1,4,Entry,9,No
S00104,25,Male,3.08,1085,88,2.43997186776749,Mathematics,4,4,4,1,9,0,70200.0,6,3,Entry,10,No
S00105,18,Female,2.91,1426,877,2.8316439354411145,Business,4,8,1,6,9,4,71300.0,10,4,Entry,7,No
S00106,29,Female,2.42,1178,571,3.874304962284067,Business,1,8,4,8,5,2,61100.0,4,4,Entry,3,No
S00107,25,Female,2.01,1097,764,2.6392022048124697,Engineering,0,7,3,5,10,4,36400.0,7,1,Entry,8,No
S00108,25,Other,2.48,1248,219,3.4944695967360992,Business,2,3,3,3,1,3,30300.0,7,4,Entry,10,No
S00109,28,Male,3.02,1320,713,3.486787101018549,Computer Science,1,5,2,3,3,1,33900.0,7,2,Senior,3,Yes
S00110,20,Male,2.76,1204,589,2.919990635258909,Arts,0,6,5,2,5,3,56800.0,6,5,Mid,3,No
S00111,18,Male,2.9,963,767,2.4339080712547,Law,1,0,0,9,4,4,29900.0,7,5,Mid,4,No
S00112,25,Male,3.96,1189,759,3.337700736976941,Arts,4,0,4,9,4,3,52600.0,8,4,Senior,3,Yes
S00113,20,Male,2.7,917,270,3.2999045550977826,Mathematics,4,3,2,7,1,2,58300.0,3,3,Entry,6,No
S00114,20,Male,2.9,963,819,3.9462889256939153,Law,3,2,3,1,6,5,47200.0,5,4,Mid,7,No
S00115,18,Female,2.27,1229,651,2.3836815581589788,Engineering,2,9,5,1,10,5,50600.0,10,3,Entry,3,No
S00116,28,Female,2.1,916,78,4.3,Medicine,2,3,0,4,4,4,89100.0,9,5,Senior,3,Yes
S00117,22,Male,3.55,1342,592,2.3962616801198733,Medicine,2,8,0,2,1,4,49500.0,8,2,Entry,7,No
S00118,27,Female,3.14,1040,10,3.478644300073241,Engineering,1,1,1,3,10,1,56100.0,6,3,Entry,10,No
S00119,24,Male,3.52,1207,468,3.592664554030228,Mathematics,1,3,5,2,6,2,67600.0,9,5,Entry,9,No
S00120,27,Male,2.3,1343,336,1.9927759697793623,Engineering,2,6,3,1,5,0,63600.0,10,1,Senior,3,Yes
S00121,26,Female,3.14,1395,636,2.3983356455233427,Business,3,1,0,3,5,1,62500.0,5,4,Entry,6,No
S00122,29,Female,2.51,1325,186,2.08060853297516,Medicine,0,7,1,7,2,2,54100.0,2,3,Senior,5,No
S00123,24,Female,2.46,1374,546,2.3674174773536105,Arts,1,9,1,10,1,5,54200.0,9,2,Entry,8,No
S00124,26,Male,2.02,1144,121,3.6601327661799896,Engineering,2,3,3,9,7,0,25000.0,5,4,Entry,9,Yes
S00125,25,Female,2.26,1349,592,2.15,Mathematics,4,8,0,10,5,5,76000.0,8,5,Entry,8,No
S00126,29,Female,2.62,1250,718,3.01,Mathematics,1,0,5,9,3,4,41100.0,8,5,Entry,1,No
S00127,19,Female,2.23,1498,565,2.630756750671452,Arts,0,6,0,8,6,5,63200.0,4,5,Mid,7,No
S00128,18,Female,3.97,1060,668,3.937862025130091,Law,1,0,4,6,3,1,46500.0,4,3,Mid,8,No
S00129,24,Female,2.62,1039,274,3.571980892248484,Arts,0,9,0,1,6,4,96700.0,1,1,Entry,5,Yes
S00130,24,Female,2.26,1392,410,3.1712618800873096,Mathematics,0,8,1,8,6,4,37600.0,5,1,Entry,4,No
S00131,25,Female,2.4,1487,358,2.959855021546911,Medicine,1,9,2,8,9,4,85500.0,9,5,Entry,7,No
S00132,22,Other,3.18,1430,647,2.22,Law,0,9,3,9,8,2,48100.0,5,4,Entry,6,No
S00133,20,Female,2.13,1292,941,3.3059916510722323,Arts,1,0,2,10,1,0,61000.0,5,2,Entry,2,No
S00134,29,Male,3.72,1300,98,2.298870044461664,Business,1,2,0,6,7,2,50300.0,6,4,Mid,9,No
S00135,25,Female,3.92,949,241,2.434188525916152,Business,3,6,5,3,9,4,73800.0,6,3,Entry,3,Yes
S00136,23,Male,2.49,1194,557,2.23689089778865,Medicine,4,0,5,6,2,1,52000.0,8,1,Mid,1,No
S00137,28,Male,2.9,1324,711,3.256653098017622,Business,0,4,1,8,9,5,54800.0,1,2,Mid,3,No
S00138,20,Female,2.04,911,993,3.405793479181863,Engineering,1,5,2,7,6,4,51500.0,5,5,Entry,1,Yes
S00139,18,Female,3.28,1234,803,3.665066293565331,Law,0,2,3,8,3,0,58500.0,9,5,Entry,10,Yes
S00140,20,Female,2.83,914,948,3.037045078043743,Medicine,1,5,4,3,8,2,36100.0,3,3,Senior,7,No
S00141,22,Male,2.54,927,114,2.047653145450197,Law,1,3,2,8,7,0,25000.0,7,3,Entry,6,Yes
S00142,20,Female,2.41,1287,487,4.253599010827223,Mathematics,1,5,5,5,8,2,56900.0,7,3,Senior,8,No
S00143,18,Male,3.31,1191,789,2.8275352922460817,Arts,4,5,4,7,8,5,82000.0,10,3,Mid,4,No
S00144,22,Other,2.83,1149,241,2.9574574693007425,Engineering,0,3,5,4,7,0,43800.0,3,5,Mid,6,No
S00145,27,Other,2.36,1404,156,3.640310908113702,Medicine,4,0,0,3,1,0,61500.0,7,5,Mid,3,Yes
S00146,24,Female,3.38,997,352,2.065274393240116,Arts,4,2,0,6,10,2,27800.0,3,3,Entry,4,No
S00147,24,Female,3.13,1236,44,2.341617183807608,Arts,4,9,3,9,10,2,41700.0,6,5,Entry,6,No
S00148,28,Female,3.72,938,592,3.003976668800681,Arts,4,6,4,4,10,2,50700.0,8,3,Senior,5,No
S00149,26,Female,2.23,937,312,2.1875810193107714,Arts,3,1,4,9,8,3,49600.0,8,2,Mid,2,No
S00150,27,Male,3.57,1199,138,2.578162509779125,Arts,0,3,3,3,5,5,66800.0,6,3,Mid,9,No
S00151,27,Male,3.35,1078,663,3.66867991687112,Medicine,0,5,5,6,2,0,25000.0,2,3,Entry,2,No
S00152,29,Female,2.23,1508,944,2.5612103840769764,Business,1,4,2,5,2,3,47500.0,1,2,Entry,8,No
S00153,20,Female,3.39,1368,436,2.548666148127509,Arts,0,5,3,9,2,3,40600.0,3,1,Senior,5,No
S00154,24,Male,2.88,1181,754,3.25073026418297,Mathematics,4,4,0,6,9,4,36300.0,3,4,Entry,7,No
S00155,18,Female,3.89,1063,143,4.3,Mathematics,2,8,4,2,5,3,39000.0,7,3,Senior,6,Yes
S00156,21,Male,2.28,1352,823,1.9423892996699057,Engineering,0,1,1,4,3,3,54100.0,4,2,Entry,2,No
S00157,21,Female,3.29,996,299,3.528478449967234,Medicine,2,3,5,5,6,2,52200.0,2,2,Mid,4,Yes
S00158,22,Female,2.76,1208,562,3.1105764436614587,Computer Science,3,0,1,9,9,2,47100.0,2,5,Entry,9,Yes
S00159,24,Female,3.91,1161,262,2.2772231808341683,Business,1,6,0,1,9,1,29700.0,7,3,Mid,7,No
S00160,24,Female,2.66,1192,512,2.593389024866231,Engineering,1,0,4,9,9,5,46000.0,8,2,Entry,1,No
S00161,28,Male,3.92,1148,673,2.630055849976284,Mathematics,1,5,4,10,10,0,66900.0,5,1,Mid,4,No
S00162,21,Male,3.8,1144,62,3.4220840320022576,Arts,3,9,3,1,4,5,25400.0,2,1,Senior,10,No
S00163,24,Female,2.54,1150,567,2.657524171762924,Medicine,4,9,2,1,5,3,39300.0,3,4,Entry,3,Yes
S00164,28,Female,3.61,1022,423,3.235129368393748,Medicine,2,8,3,4,1,3,32800.0,1,5,Entry,1,No
S00165,20,Male,3.99,1224,396,3.4030645529155032,Arts,0,1,1,6,10,0,33400.0,10,5,Entry,5,No
S00166,23,Female,2.51,1580,884,3.4607993800483428,Mathematics,4,0,4,2,6,5,46400.0,4,5,Mid,9,No
S00167,29,Male,2.87,1400,996,3.23,Engineering,1,9,2,1,2,2,40400.0,7,3,Entry,4,No
S00168,19,Female,3.04,1586,31,3.3211982750282942,Medicine,1,2,3,4,7,2,37100.0,10,1,Entry,2,No
S00169,27,Female,2.59,965,330,2.6127436541729536,Law,4,5,2,8,4,0,50300.0,9,3,Entry,7,No
S00170,26,Male,2.03,958,949,3.668296115301515,Mathematics,2,6,5,6,4,0,26500.0,3,2,Entry,8,Yes
S00171,22,Male,2.44,1397,802,2.0841997927072318,Mathematics,4,7,5,5,9,2,79900.0,4,4,Entry,2,No
S00172,23,Female,2.56,1272,169,1.946156903564244,Business,3,3,1,1,1,0,41500.0,6,4,Entry,10,No
S00173,29,Female,2.89,1165,266,2.676829280214835,Engineering,1,7,2,3,6,5,44400.0,1,3,Entry,9,No
S00174,29,Female,2.34,1552,308,3.3193248607467245,Mathematics,2,6,5,7,2,2,44900.0,5,4,Entry,10,No
S00175,29,Female,3.75,1135,459,3.460937380201929,Arts,0,7,4,10,6,0,35500.0,10,3,Mid,8,No
S00176,29,Female,3.41,1117,185,2.7711008937969823,Mathematics,1,4,5,3,7,2,68800.0,5,5,Entry,4,No
S00177,21,Other,2.17,1426,334,1.987640987722064,Engineering,4,9,2,5,3,1,53900.0,10,2,Entry,4,No
S00178,28,Female,3.3,1340,515,2.3785558705978995,Law,2,6,2,6,4,2,25000.0,9,5,Mid,5,No
S00179,27,Female,3.31,1549,441,3.838028810422683,Mathematics,1,3,3,9,2,2,31400.0,9,4,Mid,1,No
S00180,24,Male,3.91,1305,673,3.5271826787379315,Engineering,0,0,2,3,7,3,40300.0,1,2,Entry,7,No
S00181,29,Male,2.01,1500,391,3.2909392116254206,Mathematics,0,2,2,6,9,5,59500.0,3,1,Mid,4,No
S00182,26,Female,2.5,1488,772,3.83,Computer Science,4,9,1,2,5,2,67900.0,4,3,Executive,1,No
S00183,24,Male,3.86,1547,935,3.319612432989328,Arts,3,8,2,9,5,0,48000.0,1,2,Executive,4,No
S00184,18,Female,3.86,1368,560,2.836857017456883,Business,4,3,3,9,9,4,73800.0,9,3,Mid,4,Yes
